model,stream,block,deviation_l2
grdm,col,0,1.5664535760879517
grdm,col,1,1.6729321479797363
grdm,col,2,1.6790683269500732
grdm,col,3,1.7052359580993652
grdm,col,4,1.6783710718154907
grdm,col,5,1.5884771347045898
grdm,col,6,1.7164589166641235
grdm,col,7,1.6219061613082886
grdm,col,8,1.855594277381897
grdm,col,9,1.9553872346878052
grdm,col,10,1.85311758518219
grdm,col,11,2.150728225708008
grdm,feat,0,1.8808761835098267
grdm,feat,1,1.815747618675232
grdm,feat,2,1.8558982610702515
grdm,feat,3,2.581160068511963
grdm,feat,4,2.2245051860809326
grdm,feat,5,2.088122844696045
grdm,feat,6,2.1962766647338867
grdm,feat,7,1.929252028465271
grdm,feat,8,2.2285525798797607
grdm,feat,9,2.0526890754699707
grdm,feat,10,2.0242364406585693
grdm,feat,11,1.8608956336975098
grdm,nbr,0,1.9916893243789673
grdm,nbr,1,1.7880140542984009
grdm,nbr,2,1.7494924068450928
grdm,nbr,3,1.8617584705352783
grdm,nbr,4,1.5681363344192505
grdm,nbr,5,1.5365867614746094
grdm,nbr,6,1.548626184463501
grdm,nbr,7,1.528236985206604
grdm,nbr,8,1.5664833784103394
grdm,nbr,9,1.472727656364441
grdm,nbr,10,1.2777906656265259
grdm,nbr,11,1.1432286500930786
grdm,ffn,0,3.4731671810150146
grdm,ffn,1,3.4498703479766846
grdm,ffn,2,3.427032232284546
grdm,ffn,3,3.155979871749878
grdm,ffn,4,3.1805903911590576
grdm,ffn,5,3.0707573890686035
grdm,ffn,6,3.0765061378479004
grdm,ffn,7,2.966357946395874
grdm,ffn,8,2.9540657997131348
grdm,ffn,9,2.8414576053619385
grdm,ffn,10,2.8683135509490967
grdm,ffn,11,2.9540798664093018
plurel,col,0,1.5088053941726685
plurel,col,1,1.6048932075500488
plurel,col,2,1.5097628831863403
plurel,col,3,1.4280930757522583
plurel,col,4,1.3855929374694824
plurel,col,5,1.3458770513534546
plurel,col,6,1.4560599327087402
plurel,col,7,1.3365209102630615
plurel,col,8,1.5163277387619019
plurel,col,9,1.4790701866149902
plurel,col,10,1.4875630140304565
plurel,col,11,1.6826584339141846
plurel,feat,0,1.5423208475112915
plurel,feat,1,1.480988621711731
plurel,feat,2,1.4032866954803467
plurel,feat,3,1.4621949195861816
plurel,feat,4,1.3674037456512451
plurel,feat,5,1.2247545719146729
plurel,feat,6,1.4157999753952026
plurel,feat,7,1.162593126296997
plurel,feat,8,1.3010920286178589
plurel,feat,9,1.227293610572815
plurel,feat,10,1.252077341079712
plurel,feat,11,1.2984973192214966
plurel,nbr,0,1.4781115055084229
plurel,nbr,1,1.274468183517456
plurel,nbr,2,1.2078883647918701
