table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db
table_3,feature_21,868,32,10,26,0.9866613575080009,0.9867064008970932,0.9866415142966879,plurel,plurel-0/db
table_3,feature_9,868,32,10,26,0.996723137436815,0.9966666696207604,0.9966871112526741,plurel,plurel-0/db
table_3,feature_33,868,32,10,26,0.9992888296824125,0.9992704874488577,0.9992767824892763,plurel,plurel-0/db
table_0,feature_27,647,23,0,13,-0.15761587195496585,,-0.05571011731107367,plurel,plurel-1/db
table_0,feature_26,647,23,0,13,-0.35326064800969803,,-0.28136881848465256,plurel,plurel-1/db
table_1,feature_6,480,11,15,13,-0.2019179088216756,-0.2987410708870457,-0.1631715970209402,plurel,plurel-1/db
table_1,feature_7,847,20,13,60,-0.15361534034091884,-0.20988492255636393,-0.20327802532188,plurel,plurel-10/db
table_3,feature_15,867,17,15,0,-0.06825338734469932,-0.051819119308041506,,plurel,plurel-10/db
table_10,feature_12,3915,27,14,0,0.48637351690148334,0.7739931041416239,,plurel,plurel-10/db
table_0,feature_14,726,17,0,76,0.02421976287831995,,0.005420242156040422,plurel,plurel-100/db
table_5,feature_3,592,6,34,111,0.8686739316530968,0.8883379556338903,0.8569626791629739,plurel,plurel-100/db
table_8,feature_6,783,30,26,19,0.6685744688584887,0.6938807727269333,0.6595738317882217,plurel,plurel-100/db
table_1,feature_0,761,5,4,0,0.7193007879264139,0.7379676362445096,,plurel,plurel-101/db
table_9,feature_8,521,33,15,50,-0.24038735463605088,-0.1396138818012751,-0.20715030618677832,plurel,plurel-101/db
table_2,feature_1,800,23,4,0,-0.20575827085481646,-0.13793560608425026,,plurel,plurel-101/db
table_0,feature_4,3710,11,22,0,-0.1482202974163387,0.6606994868810294,,plurel,plurel-102/db
table_1,feature_4,683,12,0,22,-0.1610801479128372,,-0.25973439825599476,plurel,plurel-102/db
table_2,feature_4,849,6,0,22,0.7104034480571465,,0.81157674104401,plurel,plurel-102/db
table_2,feature_14,870,30,28,72,0.7686496860840117,0.8886307677103621,0.7469214252608176,plurel,plurel-103/db
table_8,feature_19,3058,8,28,0,0.577291173823004,0.5687633406690985,,plurel,plurel-103/db
table_8,feature_9,3058,8,28,0,-0.15800613158419163,-0.24912366239739692,,plurel,plurel-103/db
table_5,feature_2,2038,8,10,0,0.8194583444542911,0.9431633777025643,,plurel,plurel-104/db
table_4,feature_1,2578,3,10,0,-0.1090070242119281,-0.09196489236228578,,plurel,plurel-104/db
table_6,feature_1,2741,10,5,0,0.995463033884551,0.9954763787498433,,plurel,plurel-104/db
table_2,feature_10,3675,13,13,0,-0.1654294096815525,-0.12728345138232156,,plurel,plurel-105/db
table_0,feature_4,751,5,0,47,0.0878522695023003,,0.5967050404380061,plurel,plurel-105/db
