table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db,r2_own_c,r2_parent_c,r2_child_c,parent_lift,child_lift
table_3,feature_21,868,32,10,26,0.9866613575080008,0.9867064008970932,0.986641514296688,plurel,plurel-0/db,0.9866613575080008,0.9867064008970932,0.986641514296688,4.5043389092391806e-05,-1.9843211312764453e-05
table_3,feature_9,868,32,10,26,0.996723137436815,0.9966666696207604,0.996687111252674,plurel,plurel-0/db,0.996723137436815,0.9966666696207604,0.996687111252674,-5.646781605450624e-05,-3.602618414100256e-05
table_3,feature_33,868,32,10,26,0.9992888296824124,0.9992704874488576,0.9992767824892764,plurel,plurel-0/db,0.9992888296824124,0.9992704874488576,0.9992767824892764,-1.8342233554791143e-05,-1.2047193135966694e-05
table_0,feature_27,647,23,0,13,-0.1576158719549658,,-0.0557101173110736,plurel,plurel-1/db,-0.1576158719549658,,-0.0557101173110736,,0.10190575464389219
table_0,feature_26,647,23,0,13,-0.353260648009698,,-0.2813688184846525,plurel,plurel-1/db,-0.353260648009698,,-0.2813688184846525,,0.07189182952504547
table_1,feature_6,480,11,15,13,-0.2019179088216756,-0.2987410708870457,-0.1631715970209402,plurel,plurel-1/db,-0.2019179088216756,-0.2987410708870457,-0.1631715970209402,-0.09682316206537012,0.0387463118007354
table_1,feature_7,847,20,13,60,-0.1536153403409188,-0.2098849225563639,-0.20327802532188,plurel,plurel-10/db,-0.1536153403409188,-0.2098849225563639,-0.20327802532188,-0.05626958221544509,-0.049662684980961186
table_3,feature_15,867,17,15,0,-0.0682533873446993,-0.0518191193080415,,plurel,plurel-10/db,-0.0682533873446993,-0.0518191193080415,,0.016434268036657797,
table_10,feature_12,3915,27,14,0,0.4863735169014833,0.7739931041416239,,plurel,plurel-10/db,0.4863735169014833,0.7739931041416239,,0.28761958724014064,
table_0,feature_14,726,17,0,76,0.0242197628783199,,0.0054202421560404,plurel,plurel-100/db,0.0242197628783199,,0.0054202421560404,,-0.0187995207222795
table_5,feature_3,592,6,34,111,0.8686739316530968,0.8883379556338903,0.8569626791629739,plurel,plurel-100/db,0.8686739316530968,0.8883379556338903,0.8569626791629739,0.019664023980793477,-0.011711252490122948
table_8,feature_6,783,30,26,19,0.6685744688584887,0.6938807727269333,0.6595738317882217,plurel,plurel-100/db,0.6685744688584887,0.6938807727269333,0.6595738317882217,0.02530630386844457,-0.009000637070266992
table_1,feature_0,761,5,4,0,0.7193007879264139,0.7379676362445096,,plurel,plurel-101/db,0.7193007879264139,0.7379676362445096,,0.01866684831809562,
table_9,feature_8,521,33,15,50,-0.2403873546360508,-0.1396138818012751,-0.2071503061867783,plurel,plurel-101/db,-0.2403873546360508,-0.1396138818012751,-0.2071503061867783,0.1007734728347757,0.0332370484492725
table_2,feature_1,800,23,4,0,-0.2057582708548164,-0.1379356060842502,,plurel,plurel-101/db,-0.2057582708548164,-0.1379356060842502,,0.0678226647705662,
table_0,feature_4,3710,11,22,0,-0.1482202974163387,0.6606994868810294,,plurel,plurel-102/db,-0.1482202974163387,0.6606994868810294,,0.8089197842973681,
table_1,feature_4,683,12,0,22,-0.1610801479128372,,-0.2597343982559947,plurel,plurel-102/db,-0.1610801479128372,,-0.2597343982559947,,-0.0986542503431575
table_2,feature_4,849,6,0,22,0.7104034480571465,,0.81157674104401,plurel,plurel-102/db,0.7104034480571465,,0.81157674104401,,0.1011732929868635
table_2,feature_14,870,30,28,72,0.7686496860840117,0.8886307677103621,0.7469214252608176,plurel,plurel-103/db,0.7686496860840117,0.8886307677103621,0.7469214252608176,0.11998108162635035,-0.021728260823194123
table_8,feature_19,3058,8,28,0,0.577291173823004,0.5687633406690985,,plurel,plurel-103/db,0.577291173823004,0.5687633406690985,,-0.008527833153905484,
table_8,feature_9,3058,8,28,0,-0.1580061315841916,-0.2491236623973969,,plurel,plurel-103/db,-0.1580061315841916,-0.2491236623973969,,-0.09111753081320528,
table_5,feature_2,2038,8,10,0,0.8194583444542911,0.9431633777025644,,plurel,plurel-104/db,0.8194583444542911,0.9431633777025644,,0.12370503324827331,
table_4,feature_1,2578,3,10,0,-0.1090070242119281,-0.0919648923622857,,plurel,plurel-104/db,-0.1090070242119281,-0.0919648923622857,,0.0170421318496424,
table_6,feature_1,2741,10,5,0,0.995463033884551,0.9954763787498432,,plurel,plurel-104/db,0.995463033884551,0.9954763787498432,,1.334486529214196e-05,
table_2,feature_10,3675,13,13,0,-0.1654294096815525,-0.1272834513823215,,plurel,plurel-105/db,-0.1654294096815525,-0.1272834513823215,,0.03814595829923101,
table_0,feature_4,751,5,0,47,0.0878522695023003,,0.5967050404380061,plurel,plurel-105/db,0.0878522695023003,,0.5967050404380061,,0.5088527709357058
table_1,feature_0,612,3,7,34,-0.1166137245746148,-0.3325049863303038,-0.1783300752060748,plurel,plurel-105/db,-0.1166137245746148,-0.3325049863303038,-0.1783300752060748,-0.21589126175568898,-0.06171635063146
table_2,feature_1,2940,2,18,0,-0.1321397860447537,-0.1623727123932112,,plurel,plurel-106/db,-0.1321397860447537,-0.1623727123932112,,-0.03023292634845748,
table_8,feature_2,674,11,5,70,0.4128393095012191,0.5152074813315821,0.4653103006643929,plurel,plurel-106/db,0.4128393095012191,0.5152074813315821,0.4653103006643929,0.10236817183036301,0.052470991163173775
table_6,feature_1,3357,3,14,0,0.4142086494231324,0.984253463388616,,plurel,plurel-106/db,0.4142086494231324,0.984253463388616,,0.5700448139654836,
table_11,feature_7,956,15,14,0,0.942158953191552,0.9403805438862024,,plurel,plurel-107/db,0.942158953191552,0.9403805438862024,,-0.0017784093053495598,
table_6,feature_26,834,28,26,54,0.080661749249465,0.0638706490550308,0.0926578967925328,plurel,plurel-107/db,0.080661749249465,0.0638706490550308,0.0926578967925328,-0.016791100194434194,0.011996147543067812
table_13,feature_7,804,7,31,0,0.3850294874209516,0.4117263770357776,,plurel,plurel-107/db,0.3850294874209516,0.4117263770357776,,0.02669688961482597,
table_3,feature_4,914,27,19,22,0.7656211579751836,0.7694217933987062,0.751479705740201,plurel,plurel-108/db,0.7656211579751836,0.7694217933987062,0.751479705740201,0.0038006354235226025,-0.014141452234982643
table_1,feature_27,2969,32,15,0,0.998403713361106,0.9984127641957212,,plurel,plurel-108/db,0.998403713361106,0.9984127641957212,,9.050834615220715e-06,
