model,encoder,shape,weight_norm,bias_norm,effective_rank,max_singular
reldiff,number,256x1,9.146754264831543,9.52412223815918,,
reldiff,datetime,256x1,9.269652366638184,9.267570495605469,,
reldiff,boolean,256x1,9.326762199401855,9.264142990112305,,
reldiff,text,256x384,9.241742134094238,0.44791868329048157,228.60995483398438,1.0943423509597778
reldiff,col_name,256x384,9.229265213012695,0.47023484110832214,228.56080627441406,1.0271525382995605
reldiff,mask_emb.number,256,15.324808120727539,,,
reldiff,mask_emb.text,256,15.087584495544434,,,
reldiff,mask_emb.datetime,256,16.142963409423828,,,
reldiff,mask_emb.boolean,256,15.436546325683594,,,
grdm,number,256x1,9.146626472473145,9.524137496948242,,
grdm,datetime,256x1,9.269673347473145,9.267573356628418,,
grdm,boolean,256x1,9.32673454284668,9.264104843139648,,
grdm,text,256x384,9.255427360534668,0.45757001638412476,227.9231414794922,1.4993082284927368
grdm,col_name,256x384,9.223554611206055,0.46612101793289185,228.60504150390625,1.031346082687378
grdm,mask_emb.number,256,15.324795722961426,,,
grdm,mask_emb.text,256,15.087584495544434,,,
grdm,mask_emb.datetime,256,16.142963409423828,,,
grdm,mask_emb.boolean,256,15.436548233032227,,,
plurel,number,256x1,9.146728515625,9.524128913879395,,
plurel,datetime,256x1,9.269821166992188,9.267525672912598,,
plurel,boolean,256x1,9.326751708984375,9.264148712158203,,
plurel,text,256x384,9.22256851196289,0.46806228160858154,228.99574279785156,1.039158821105957
plurel,col_name,256x384,9.227043151855469,0.47440317273139954,228.67581176757812,1.0295780897140503
plurel,mask_emb.number,256,15.324804306030273,,,
plurel,mask_emb.text,256,15.087584495544434,,,
plurel,mask_emb.datetime,256,16.142963409423828,,,
plurel,mask_emb.boolean,256,15.436556816101074,,,
rdbpfn,number,256x1,9.146737098693848,9.524139404296875,,
rdbpfn,datetime,256x1,9.269693374633789,9.267572402954102,,
rdbpfn,boolean,256x1,9.32675552368164,9.264204025268555,,
rdbpfn,text,256x384,9.211338996887207,0.46748384833335876,228.99813842773438,1.0385551452636719
rdbpfn,col_name,256x384,9.22762680053711,0.4737163484096527,228.64376831054688,1.032538890838623
rdbpfn,mask_emb.number,256,15.324801445007324,,,
rdbpfn,mask_emb.text,256,15.087584495544434,,,
rdbpfn,mask_emb.datetime,256,16.142963409423828,,,
rdbpfn,mask_emb.boolean,256,15.43655014038086,,,
