model,pair,cosine
reldiff,number~text,-0.020422445610165596
reldiff,number~datetime,-0.07120092213153839
reldiff,number~boolean,0.014312910847365856
reldiff,text~datetime,0.013622293248772621
reldiff,text~boolean,0.023423289880156517
reldiff,datetime~boolean,0.003721414366737008
grdm,number~text,-0.02044706605374813
grdm,number~datetime,-0.07117623090744019
grdm,number~boolean,0.014257652685046196
grdm,text~datetime,0.013622293248772621
grdm,text~boolean,0.023474017158150673
grdm,datetime~boolean,0.003754529869183898
plurel,number~text,-0.020432649180293083
plurel,number~datetime,-0.07119564712047577
plurel,number~boolean,0.014244935475289822
plurel,text~datetime,0.013622293248772621
plurel,text~boolean,0.023432651534676552
plurel,datetime~boolean,0.0037441870663315058
rdbpfn,number~text,-0.020433560013771057
rdbpfn,number~datetime,-0.0711643397808075
rdbpfn,number~boolean,0.014278965070843697
rdbpfn,text~datetime,0.013622293248772621
rdbpfn,text~boolean,0.023427899926900864
rdbpfn,datetime~boolean,0.003747284412384033
