encoder,pair,cosine
number,reldiff~grdm,0.9999938011169434
number,reldiff~plurel,0.9999845623970032
number,reldiff~rdbpfn,0.999985933303833
number,grdm~plurel,0.9999863505363464
number,grdm~rdbpfn,0.9999864101409912
number,plurel~rdbpfn,0.9999967813491821
datetime,reldiff~grdm,0.9999960064888
datetime,reldiff~plurel,0.9999797344207764
datetime,reldiff~rdbpfn,0.9999966025352478
datetime,grdm~plurel,0.9999890923500061
datetime,grdm~rdbpfn,0.9999985098838806
datetime,plurel~rdbpfn,0.9999873638153076
boolean,reldiff~grdm,0.9999995827674866
boolean,reldiff~plurel,0.9999991059303284
boolean,reldiff~rdbpfn,0.9999960660934448
boolean,grdm~plurel,0.9999995827674866
boolean,grdm~rdbpfn,0.9999973773956299
boolean,plurel~rdbpfn,0.999997079372406
text,reldiff~grdm,0.9556710124015808
text,reldiff~plurel,0.980652391910553
text,reldiff~rdbpfn,0.9797365069389343
text,grdm~plurel,0.9729800224304199
text,grdm~rdbpfn,0.9723807573318481
text,plurel~rdbpfn,0.9989050626754761
col_name,reldiff~grdm,0.98652184009552
col_name,reldiff~plurel,0.9910784959793091
col_name,reldiff~rdbpfn,0.9922858476638794
col_name,grdm~plurel,0.9856296181678772
col_name,grdm~rdbpfn,0.9866153597831726
col_name,plurel~rdbpfn,0.9944123029708862
mask_emb.number,reldiff~grdm,0.9999998807907104
mask_emb.number,reldiff~plurel,0.9999998807907104
mask_emb.number,reldiff~rdbpfn,0.9999999403953552
mask_emb.number,grdm~plurel,0.9999999403953552
mask_emb.number,grdm~rdbpfn,0.9999999403953552
mask_emb.number,plurel~rdbpfn,1.0
mask_emb.text,reldiff~grdm,0.9999999403953552
mask_emb.text,reldiff~plurel,0.9999999403953552
mask_emb.text,reldiff~rdbpfn,0.9999999403953552
mask_emb.text,grdm~plurel,0.9999999403953552
mask_emb.text,grdm~rdbpfn,0.9999999403953552
mask_emb.text,plurel~rdbpfn,0.9999999403953552
mask_emb.datetime,reldiff~grdm,1.0
mask_emb.datetime,reldiff~plurel,1.0
mask_emb.datetime,reldiff~rdbpfn,1.0
mask_emb.datetime,grdm~plurel,1.0
mask_emb.datetime,grdm~rdbpfn,1.0
mask_emb.datetime,plurel~rdbpfn,1.0
mask_emb.boolean,reldiff~grdm,0.9999998211860657
mask_emb.boolean,reldiff~plurel,0.9999997615814209
mask_emb.boolean,reldiff~rdbpfn,0.9999997615814209
mask_emb.boolean,grdm~plurel,0.9999999403953552
mask_emb.boolean,grdm~rdbpfn,0.9999998807907104
mask_emb.boolean,plurel~rdbpfn,1.0
