condition,dose,ctx_len,status,loss,n_batches,n_cells,seconds,model,route_condition
intact,1.0,1024,ok,0.2576497395833333,12,192,7.7,reldiff,intact
nbr_zeroed,1.0,1024,ok,0.3858300447463989,12,192,1.4,reldiff,nbr_zeroed
intact,1.0,1024,ok,0.4526832898457845,12,192,2.4,reldiff,feat_parent_blocked
nbr_zeroed,1.0,1024,ok,0.4526832898457845,12,192,1.4,reldiff,both
fk_shuffled,1.0,1024,ok,0.46959877014160156,12,192,1.4,reldiff,fk_shuffled
intact,1.0,1024,ok,0.354400634765625,12,192,1.4,grdm,intact
nbr_zeroed,1.0,1024,ok,0.3530171712239583,12,192,1.4,grdm,nbr_zeroed
intact,1.0,1024,ok,0.3861796061197917,12,192,1.3,grdm,feat_parent_blocked
nbr_zeroed,1.0,1024,ok,0.3861796061197917,12,192,1.4,grdm,both
fk_shuffled,1.0,1024,ok,0.369384765625,12,192,1.4,grdm,fk_shuffled
intact,1.0,1024,ok,0.1902745564778646,12,192,1.4,plurel,intact
nbr_zeroed,1.0,1024,ok,0.19060516357421875,12,192,1.3,plurel,nbr_zeroed
intact,1.0,1024,ok,0.207672119140625,12,192,1.4,plurel,feat_parent_blocked
nbr_zeroed,1.0,1024,ok,0.207672119140625,12,192,1.4,plurel,both
fk_shuffled,1.0,1024,ok,0.200225830078125,12,192,1.4,plurel,fk_shuffled
intact,1.0,1024,ok,0.23418362935384116,12,192,1.4,rdbpfn,intact
nbr_zeroed,1.0,1024,ok,0.23653507232666016,12,192,1.4,rdbpfn,nbr_zeroed
intact,1.0,1024,ok,0.24875418345133463,12,192,1.4,rdbpfn,feat_parent_blocked
nbr_zeroed,1.0,1024,ok,0.24875418345133463,12,192,1.4,rdbpfn,both
fk_shuffled,1.0,1024,ok,0.2405246098836263,12,192,1.4,rdbpfn,fk_shuffled
intact,1.0,1024,ok,0.5647459228833517,12,192,1.4,random_init,intact
nbr_zeroed,1.0,1024,ok,0.5398712158203125,12,192,1.3,random_init,nbr_zeroed
intact,1.0,1024,ok,0.6186689933141073,12,192,1.4,random_init,feat_parent_blocked
nbr_zeroed,1.0,1024,ok,0.6186689933141073,12,192,1.3,random_init,both
fk_shuffled,1.0,1024,ok,0.5882031122843424,12,192,1.4,random_init,fk_shuffled
