model,probe,kind,group,score,n,majority_baseline,layer
reldiff,sem_type,clf,sanity,1.0,41841,0.5120336512033651,0
reldiff,table,clf,sanity,1.0,41841,0.3806792380679238,0
reldiff,degree,reg,relational,0.9050931930541992,41841,,0
reldiff,parent_table,clf,relational,0.9988925802879292,33110,0.6149501661129568,0
grdm,sem_type,clf,sanity,1.0,41841,0.5120336512033651,0
grdm,table,clf,sanity,1.0,41841,0.3806792380679238,0
grdm,degree,reg,relational,0.9060225486755372,41841,,0
grdm,parent_table,clf,relational,0.9993959528843248,33110,0.6149501661129568,0
plurel,sem_type,clf,sanity,1.0,41841,0.5120336512033651,0
plurel,table,clf,sanity,1.0,41841,0.3806792380679238,0
plurel,degree,reg,relational,0.9036108255386353,41841,,0
plurel,parent_table,clf,relational,0.9986912312493708,33110,0.6149501661129568,0
rdbpfn,sem_type,clf,sanity,1.0,41841,0.5120336512033651,0
rdbpfn,table,clf,sanity,1.0,41841,0.3806792380679238,0
rdbpfn,degree,reg,relational,0.904436469078064,41841,,0
rdbpfn,parent_table,clf,relational,0.9989932548072082,33110,0.6149501661129568,0
random_init,sem_type,clf,sanity,1.0,41841,0.5120336512033651,0
random_init,table,clf,sanity,1.0,41841,0.3806792380679238,0
random_init,degree,reg,relational,0.9036839604377748,41841,,0
random_init,parent_table,clf,relational,0.99879190576865,33110,0.6149501661129568,0
reldiff,sem_type,clf,sanity,1.0,41841,0.5120336512033651,5
reldiff,table,clf,sanity,1.0,41841,0.3806792380679238,5
reldiff,degree,reg,relational,0.9303638935089112,41841,,5
reldiff,parent_table,clf,relational,0.9992952783650458,33110,0.6149501661129568,5
grdm,sem_type,clf,sanity,1.0,41841,0.5120336512033651,5
grdm,table,clf,sanity,1.0,41841,0.3806792380679238,5
grdm,degree,reg,relational,0.9314104914665222,41841,,5
grdm,parent_table,clf,relational,0.999496627403604,33110,0.6149501661129568,5
plurel,sem_type,clf,sanity,1.0,41841,0.5120336512033651,5
plurel,table,clf,sanity,1.0,41841,0.3806792380679238,5
plurel,degree,reg,relational,0.920926034450531,41841,,5
plurel,parent_table,clf,relational,0.999496627403604,33110,0.6149501661129568,5
rdbpfn,sem_type,clf,sanity,0.9999203377678644,41841,0.5120336512033651,5
rdbpfn,table,clf,sanity,1.0,41841,0.3806792380679238,5
rdbpfn,degree,reg,relational,0.9187228679656982,41841,,5
rdbpfn,parent_table,clf,relational,0.9995973019228832,33110,0.6149501661129568,5
random_init,sem_type,clf,sanity,1.0,41841,0.5120336512033651,5
random_init,table,clf,sanity,1.0,41841,0.3806792380679238,5
random_init,degree,reg,relational,0.9204496145248412,41841,,5
random_init,parent_table,clf,relational,0.9996979764421624,33110,0.6149501661129568,5
reldiff,sem_type,clf,sanity,1.0,41841,0.5120336512033651,11
reldiff,table,clf,sanity,1.0,41841,0.3806792380679238,11
reldiff,degree,reg,relational,0.9348174333572388,41841,,11
reldiff,parent_table,clf,relational,0.999496627403604,33110,0.6149501661129568,11
grdm,sem_type,clf,sanity,1.0,41841,0.5120336512033651,11
grdm,table,clf,sanity,1.0,41841,0.3806792380679238,11
grdm,degree,reg,relational,0.9374288320541382,41841,,11
grdm,parent_table,clf,relational,0.9997986509614416,33110,0.6149501661129568,11
plurel,sem_type,clf,sanity,0.9999203377678644,41841,0.5120336512033651,11
plurel,table,clf,sanity,1.0,41841,0.3806792380679238,11
plurel,degree,reg,relational,0.9228712916374208,41841,,11
plurel,parent_table,clf,relational,0.9997986509614416,33110,0.6149501661129568,11
rdbpfn,sem_type,clf,sanity,0.9999203377678644,41841,0.5120336512033651,11
rdbpfn,table,clf,sanity,1.0,41841,0.3806792380679238,11
rdbpfn,degree,reg,relational,0.9204363226890564,41841,,11
rdbpfn,parent_table,clf,relational,0.9993959528843248,33110,0.6149501661129568,11
random_init,sem_type,clf,sanity,1.0,41841,0.5120336512033651,11
random_init,table,clf,sanity,1.0,41841,0.3806792380679238,11
random_init,degree,reg,relational,0.92360520362854,41841,,11
random_init,parent_table,clf,relational,1.0,33110,0.6149501661129568,11
