condition,dose,ctx_len,status,loss,n_batches,n_cells,seconds,model
intact,1.0,1024,ok,0.2413177490234375,24.0,384.0,7.7,reldiff
nbr_zeroed,1.0,1024,ok,0.3682961662610372,24.0,384.0,1.9,reldiff
fk_shuffled,1.0,1024,ok,0.4431125322977702,24.0,384.0,2.0,reldiff
fk_blanked,1.0,1024,ok,0.4378801186879476,24.0,384.0,1.9,reldiff
intact,1.0,1024,ok,0.3419570922851562,24.0,384.0,1.9,grdm
nbr_zeroed,1.0,1024,ok,0.3400217692057292,24.0,384.0,1.9,grdm
fk_shuffled,1.0,1024,ok,0.3600311279296875,24.0,384.0,1.9,grdm
fk_blanked,1.0,1024,ok,0.3754908243815104,24.0,384.0,1.9,grdm
intact,1.0,1024,ok,0.1611785888671875,24.0,384.0,1.8,plurel
nbr_zeroed,1.0,1024,ok,0.1608835856119791,24.0,384.0,2.1,plurel
fk_shuffled,1.0,1024,ok,0.1710611979166666,24.0,384.0,1.7,plurel
fk_blanked,1.0,1024,ok,0.1801350911458333,24.0,384.0,1.7,plurel
intact,1.0,1024,ok,0.2081718444824218,24.0,384.0,1.7,rdbpfn
nbr_zeroed,1.0,1024,ok,0.2112436294555664,24.0,384.0,1.7,rdbpfn
fk_shuffled,1.0,1024,ok,0.2151691118876139,24.0,384.0,1.7,rdbpfn
fk_blanked,1.0,1024,ok,0.2236275672912597,24.0,384.0,1.7,rdbpfn
intact,1.0,1024,ok,0.5561146835486094,24.0,384.0,7.3,random_init
nbr_zeroed,1.0,1024,ok,0.5312665303548177,24.0,384.0,1.9,random_init
fk_shuffled,1.0,1024,ok,0.5832537015279134,24.0,384.0,1.9,random_init
fk_blanked,1.0,1024,ok,0.6126958951354027,24.0,384.0,1.8,random_init
