model,stream,total_l2,gini,top1_share,top2_share,max_over_min
grdm,col,6.101134101876039,0.021114321541392537,0.13137805631866725,0.26131128368739126,1.1113712479336972
grdm,feat,7.17893812945888,0.04019083615904986,0.141357258773592,0.27829228360208935,1.2391190592262673
grdm,nbr,5.5504784645756065,0.019380096038689884,0.13716620976938687,0.2644074610411059,1.1343494081253354
plurel,col,5.13226871226377,0.011159517150090054,0.1282478002912657,0.2559795528429585,1.0574374650611833
plurel,feat,4.6752923691552475,0.033911783042831475,0.13702094723690808,0.2716312828813979,1.2012478707643115
plurel,nbr,3.8988517369624622,0.016347315729262433,0.13075547574056406,0.2591994091989613,1.1021524381718382
rdbpfn,col,5.573413084754425,0.020215348726993907,0.13175818157585886,0.2609197494415444,1.1110440138874413
rdbpfn,feat,4.354034352278989,0.02993509660961335,0.13434279869941868,0.2678807457452441,1.1611125097836126
rdbpfn,nbr,3.800181447504895,0.01959920116855748,0.13452558610639284,0.2634000922270422,1.1472658654175845
reldiff,col,5.366238029592086,0.01534293693592414,0.1292963570421575,0.25759060681348517,1.077524082707963
reldiff,feat,5.880572672322605,0.03441163391216907,0.1360534858440012,0.2705007186004675,1.1803305852509607
reldiff,nbr,6.425386388003751,0.01990750471733503,0.13179741996289177,0.2612400218034711,1.1365445679241064
