model,block,stream,head,deviation_l2
grdm,0,col,0,0.5423954331355203
grdm,0,col,1,0.48472153280985514
grdm,0,col,2,0.5341283853782035
grdm,0,col,3,0.6212110888405336
grdm,0,col,4,0.5141176023199154
grdm,0,col,5,0.6111556989139983
grdm,0,col,6,0.5865141224764537
grdm,0,col,7,0.5212034154390778
grdm,0,feat,0,0.5545302087446741
grdm,0,feat,1,0.5234097039258335
grdm,0,feat,2,0.6213882815569035
grdm,0,feat,3,0.8689047847050161
grdm,0,feat,4,0.7048744213844653
grdm,0,feat,5,0.4954074407616263
grdm,0,feat,6,0.6377822676487944
grdm,0,feat,7,0.816181754315997
grdm,0,nbr,0,0.6234199309920967
grdm,0,nbr,1,0.7728238175747725
grdm,0,nbr,2,0.6685594991499109
grdm,0,nbr,3,0.6170334774690995
grdm,0,nbr,4,0.846480448422833
grdm,0,nbr,5,0.635250903744826
grdm,0,nbr,6,0.7834891465292847
grdm,0,nbr,7,0.6476006767026945
grdm,1,col,0,0.5937628179973545
grdm,1,col,1,0.5201819296124615
grdm,1,col,2,0.5891035753697219
grdm,1,col,3,0.7417278347057709
grdm,1,col,4,0.5803120298851052
grdm,1,col,5,0.6146152741946859
grdm,1,col,6,0.5743697383139426
grdm,1,col,7,0.48374670179731133
grdm,1,feat,0,0.6143495251670198
grdm,1,feat,1,0.6213183776549441
grdm,1,feat,2,0.7066174318293628
grdm,1,feat,3,0.5565828628017115
grdm,1,feat,4,0.6584633360964184
grdm,1,feat,5,0.6948520925564456
grdm,1,feat,6,0.5954925978066006
grdm,1,feat,7,0.6733914383892339
grdm,1,nbr,0,0.6367982920009744
grdm,1,nbr,1,0.7059263901598304
grdm,1,nbr,2,0.5375658627012271
grdm,1,nbr,3,0.6360216068726403
grdm,1,nbr,4,0.6436072344014488
grdm,1,nbr,5,0.664197391946434
grdm,1,nbr,6,0.6370566588951463
grdm,1,nbr,7,0.581811431363561
grdm,2,col,0,0.5797659711601562
grdm,2,col,1,0.5588486330025613
grdm,2,col,2,0.6103715633929938
grdm,2,col,3,0.5702257384317653
grdm,2,col,4,0.5926766292951258
grdm,2,col,5,0.6440454964519465
grdm,2,col,6,0.598450671890158
grdm,2,col,7,0.5907459495973021
grdm,2,feat,0,0.8087745961837183
grdm,2,feat,1,0.574861001883185
grdm,2,feat,2,0.5937552734191013
grdm,2,feat,3,0.6802804706132161
grdm,2,feat,4,0.6333745885470861
grdm,2,feat,5,0.5959857645378879
grdm,2,feat,6,0.7223541092093706
grdm,2,feat,7,0.6052839273957505
grdm,2,nbr,0,0.6413530335786257
grdm,2,nbr,1,0.626561618980302
grdm,2,nbr,2,0.5874042431680946
grdm,2,nbr,3,0.6822227353420858
grdm,2,nbr,4,0.5229733993111615
grdm,2,nbr,5,0.568848327505346
grdm,2,nbr,6,0.7113568646335164
grdm,2,nbr,7,0.5859230452979836
grdm,3,col,0,0.5963132547868143
grdm,3,col,1,0.5455113780625263
grdm,3,col,2,0.6747132196555312
grdm,3,col,3,0.6560901804865747
grdm,3,col,4,0.540439657182073
grdm,3,col,5,0.6426715029319184
grdm,3,col,6,0.5151405732069401
grdm,3,col,7,0.6313169550087518
grdm,3,feat,0,0.6894835095288737
grdm,3,feat,1,0.6873241356767263
grdm,3,feat,2,0.6129228583442813
grdm,3,feat,3,0.9852765624706041
grdm,3,feat,4,0.5789833494987254
grdm,3,feat,5,0.7998708527599518
grdm,3,feat,6,1.243950845805203
grdm,3,feat,7,1.358603861652144
grdm,3,nbr,0,0.6263050669455623
grdm,3,nbr,1,0.7335299997386907
grdm,3,nbr,2,0.7356237766341585
grdm,3,nbr,3,0.5205523452173657
grdm,3,nbr,4,0.7029895678530607
grdm,3,nbr,5,0.6252155170792766
grdm,3,nbr,6,0.713927810432711
grdm,3,nbr,7,0.5735985624578567
grdm,4,col,0,0.5698435697563102
grdm,4,col,1,0.5480472534787427
grdm,4,col,2,0.6152273843761683
grdm,4,col,3,0.5526522349599214
grdm,4,col,4,0.6088445445416153
grdm,4,col,5,0.6042368015052074
grdm,4,col,6,0.5925235032850273
grdm,4,col,7,0.6489283272468676
grdm,4,feat,0,0.6172891907272697
grdm,4,feat,1,0.7870844134213448
grdm,4,feat,2,0.6239400160164722
grdm,4,feat,3,0.5401557637610549
grdm,4,feat,4,0.8993647268807378
grdm,4,feat,5,0.9145324061595153
grdm,4,feat,6,1.026709807000974
grdm,4,feat,7,0.7533467791306485
grdm,4,nbr,0,0.588323430655321
grdm,4,nbr,1,0.5007529140614733
grdm,4,nbr,2,0.5726350903342333
grdm,4,nbr,3,0.5909819452808533
grdm,4,nbr,4,0.4722781383191288
grdm,4,nbr,5,0.5619191674354285
grdm,4,nbr,6,0.6339414087239154
grdm,4,nbr,7,0.49434701657700525
