db,task,target,kind,condition,ctx_len,batch_size,split,n,status,auroc,pos_rate,n_pos,seconds,generator
rel-stack,user-engagement,contribution,clf,intact,30000,2,test,2048,ok,0.8649354460093897,0.029296875,60,176.2,reldiff
rel-stack,user-engagement,contribution,clf,fk_shuffled,30000,2,test,2048,ok,0.5785630449362843,0.029296875,60,268.0,reldiff
rel-stack,user-engagement,contribution,clf,nbr_zeroed,30000,2,test,2048,ok,0.6235119047619049,0.029296875,60,170.0,reldiff
rel-stack,user-badge,WillGetBadge,clf,intact,30000,2,test,2048,ok,0.811736076108871,0.03125,64,112.0,reldiff
rel-stack,user-badge,WillGetBadge,clf,fk_shuffled,30000,2,test,2048,ok,0.749452652469758,0.03125,64,147.9,reldiff
rel-stack,user-badge,WillGetBadge,clf,nbr_zeroed,30000,2,test,2048,ok,0.7521775768649193,0.03125,64,112.5,reldiff
rel-stack,user-engagement,contribution,clf,intact,30000,2,test,2048,ok,0.5197434607645874,0.029296875,60,170.0,grdm
rel-stack,user-engagement,contribution,clf,fk_shuffled,30000,2,test,2048,ok,0.6218309859154929,0.029296875,60,268.2,grdm
rel-stack,user-engagement,contribution,clf,nbr_zeroed,30000,2,test,2048,ok,0.537458081824279,0.029296875,60,170.2,grdm
rel-stack,user-badge,WillGetBadge,clf,intact,30000,2,test,2048,ok,0.6518200289818548,0.03125,64,112.3,grdm
rel-stack,user-badge,WillGetBadge,clf,fk_shuffled,30000,2,test,2048,ok,0.6096624558971774,0.03125,64,147.8,grdm
rel-stack,user-badge,WillGetBadge,clf,nbr_zeroed,30000,2,test,2048,ok,0.6779115738407259,0.03125,64,112.3,grdm
rel-stack,user-engagement,contribution,clf,intact,30000,2,test,2048,ok,0.6524019114688129,0.029296875,60,169.8,plurel
rel-stack,user-engagement,contribution,clf,fk_shuffled,30000,2,test,2048,ok,0.6495556673373575,0.029296875,60,268.5,plurel
rel-stack,user-engagement,contribution,clf,nbr_zeroed,30000,2,test,2048,ok,0.6357478202548625,0.029296875,60,170.1,plurel
rel-stack,user-badge,WillGetBadge,clf,intact,30000,2,test,2048,ok,0.7559184412802419,0.03125,64,112.3,plurel
rel-stack,user-badge,WillGetBadge,clf,fk_shuffled,30000,2,test,2048,ok,0.7553789692540323,0.03125,64,147.5,plurel
rel-stack,user-badge,WillGetBadge,clf,nbr_zeroed,30000,2,test,2048,ok,0.7514175907258065,0.03125,64,112.4,plurel
rel-stack,user-engagement,contribution,clf,intact,30000,2,test,2048,ok,0.6422157947686117,0.029296875,60,169.8,rdbpfn
rel-stack,user-engagement,contribution,clf,fk_shuffled,30000,2,test,2048,ok,0.6430918846411804,0.029296875,60,268.1,rdbpfn
rel-stack,user-engagement,contribution,clf,nbr_zeroed,30000,2,test,2048,ok,0.6342261904761903,0.029296875,60,170.0,rdbpfn
rel-stack,user-badge,WillGetBadge,clf,intact,30000,2,test,2048,ok,0.7496810420866935,0.03125,64,112.4,rdbpfn
rel-stack,user-badge,WillGetBadge,clf,fk_shuffled,30000,2,test,2048,ok,0.7491533833165323,0.03125,64,147.9,rdbpfn
